codigo_peca;descricao_original;nome_peca;categoria;marca_fabricante;modelo_moto;preco;quantidade_estoque;quantidade_minima;status
350020;GUARNICAO TAMPA VALV TITAN 125 86-08/ BROS125 MOTOBOR;GUARNICAO TAMPA VALV;OUTROS;MOTOBOR;TITAN 125 / BROS125;1.63;55;11;DISPONIVEL
350106;GUARNICAO TAMPA VALV TITAN 160/ BROS 160/ XRE190 MOTOBOR;GUARNICAO TAMPA VALV;OUTROS;MOTOBOR;TITAN 160 / BROS 160 / XRE190;1.85;75;13;DISPONIVEL
350108;GUARNICAO TAMPA VALV LAT TITAN 160/ BROS 160/ XRE190 MOTOBOR;GUARNICAO TAMPA VALV LAT;OUTROS;MOTOBOR;TITAN 160 / BROS 160 / XRE190;1.76;19;18;DISPONIVEL
350110;GUARNICAO ESCAPE CB 400-450 DIANT VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;CB 400;3.31;18;16;DISPONIVEL
350115;GUARNICAO ESCAPE NX 150/ XLR125 VALFLEX;GUARNICAO ESCAPE NX 150/ XLR125 VALFLEX;ESCAPAMENTO;VALFLEX;NÃO IDENTIFICADO;3.20;2;18;ESTOQUE BAIXO
350120;GUARNICAO ESCAPE CB 400-450/ HORN 600 TRAS VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;CB 400;3.31;21;14;DISPONIVEL
350125;GUARNICAO ESCAPE XL 125 VALFLEX;GUARNICAO ESCAPE XL 125 VALFLEX;ESCAPAMENTO;VALFLEX;NÃO IDENTIFICADO;3.20;81;11;DISPONIVEL
350130;GUARNICAO ESCAPE XL 250R VALFLEX;GUARNICAO ESCAPE XL 250R VALFLEX;ESCAPAMENTO;VALFLEX;NÃO IDENTIFICADO;3.20;66;17;DISPONIVEL
350135;GUARNICAO ESCAPE FALCON/ XLX 250-350/ NX350 VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;FALCON;3.20;56;10;DISPONIVEL
350310;GUARNICAO CUBA TITAN 125 99-08/ TIT 150/BROS150/CBX200 VALFLEX;GUARNICAO CUBA;OUTROS;VALFLEX;TITAN 125 / TITAN 150 / BROS150 / CBX200;1.80;75;5;DISPONIVEL
350311;GUARNICAO CUBA TWIS/ TORN/ FALC 400 VALFLEX;GUARNICAO CUBA;OUTROS;VALFLEX;NÃO IDENTIFICADO;2.57;8;9;ESTOQUE BAIXO
350312;GUARNICAO CUBA BIZ 100 98-05/ BIZ 125 06-08/DREAM/WEB VALFLEX;GUARNICAO CUBA;OUTROS;VALFLEX;BIZ 100 / BIZ 125;2.48;60;4;DISPONIVEL
350335;GUARNICAO CUBA CB 400-450 VALFLEX;GUARNICAO CUBA;OUTROS;VALFLEX;CB 400;2.32;1;8;ESTOQUE BAIXO
350340;GUARNICAO TAMPA VALV BIZ 125 MOTOBOR;GUARNICAO TAMPA VALV;OUTROS;MOTOBOR;BIZ 125;0.58;44;16;DISPONIVEL
350345;GUARNICAO ESCAPE TWIST 16.../CB- XRE 300/TORN 250 AMIAN VALFLE;GUARNICAO ESCAPE TWIST 16.../CB-;ESCAPAMENTO;VALFLEX;XRE 300;3.25;53;18;DISPONIVEL
350350;GUARNICAO ESCAPE XT225/TDM225/ VIRAGO 250 VALFLEX;GUARNICAO ESCAPE XT225/TDM225/ VIRAGO 250 VALFLEX;ESCAPAMENTO;VALFLEX;NÃO IDENTIFICADO;3.20;22;4;DISPONIVEL
350355;GUARNICAO ESCAPE NX 150-200/ XR 200/ XLR AMIAN VALFLEX;GUARNICAO ESCAPE NX 150-200/ XR 200/ XLR AMIAN VALFLEX;ESCAPAMENTO;VALFLEX;NÃO IDENTIFICADO;3.00;10;3;DISPONIVEL
350360;GUARNICAO TAMPA VALV TITAN 150 04-15/ CRF150 MOTOBOR;GUARNICAO TAMPA VALV;OUTROS;MOTOBOR;TITAN 150;1.97;20;3;DISPONIVEL
350361;GUARNICAO TAMPA VALV TWISTER 250/ TORN 250 01-08 C/RET MOTOBOR;GUARNICAO TAMPA VALV;OUTROS;MOTOBOR;TWISTER 250;13.68;41;10;DISPONIVEL
350363;GUARNICAO TAMPA VALV TITAN 150 04-15/ CRF150 C/RET MOTOBOR;GUARNICAO TAMPA VALV;OUTROS;MOTOBOR;TITAN 150;4.75;5;6;ESTOQUE BAIXO
350365;GUARNICAO CUBA BIZ 100 98-05/ BIZ 125 06-08/DREAM/WEB MOTOBOR;GUARNICAO CUBA;OUTROS;MOTOBOR;BIZ 100 / BIZ 125;0.82;62;3;DISPONIVEL
350370;GUARNICAO TAMPA VALV TWISTER 250/ TORN 250 01-08 VALFLEX;GUARNICAO TAMPA VALV;OUTROS;VALFLEX;TWISTER 250;18.37;25;15;DISPONIVEL
350371;GUARNICAO TAMPA VALV TWISTER 250/ TORN 250 01-08 VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;TWISTER 250;16.30;28;5;DISPONIVEL
